时间,湿度(%)
2023-01-07 04:20:00,67.26
2023-01-07 05:30:00,67.3
2023-01-07 06:40:00,65.24
2023-01-07 07:50:00,62.51
2023-01-07 09:00:00,61.47
2023-01-07 10:10:00,59.86
2023-01-07 11:20:00,53.27
2023-01-07 12:30:00,47.28
2023-01-07 13:40:00,40.75
2023-01-07 14:50:00,35.88
2023-01-07 16:00:00,38.84
2023-01-07 17:20:00,47.31
2023-01-07 18:30:00,52.05
2023-01-07 19:40:00,55.85
2023-01-07 20:50:00,56.66
2023-01-07 22:00:00,59.89
2023-01-07 23:10:00,60.49
2023-01-08 00:30:00,62.96
2023-01-08 01:40:00,63.77
2023-01-08 02:50:00,64.98
2023-01-08 04:00:00,65.03
2023-01-08 05:10:00,65.44
2023-01-08 06:20:00,65.42
2023-01-08 07:30:00,65.53
2023-01-08 08:40:00,66.07
2023-01-08 09:50:00,65.97
2023-01-08 11:00:00,64.89
2023-01-08 12:10:00,62.83
2023-01-08 13:20:00,60.77
2023-01-08 14:30:00,59.11
2023-01-08 15:40:00,54.64
2023-01-08 16:50:00,57.27
2023-01-08 18:00:00,59.58
2023-01-08 19:10:00,60.95
2023-01-08 20:20:00,63.69
2023-01-08 21:30:00,64.23
2023-01-08 22:40:00,64.8
2023-01-08 23:50:00,64.95
2023-01-09 01:10:00,65.67
2023-01-09 02:20:00,66.54
2023-01-09 03:30:00,67.06
2023-01-09 04:40:00,66.96
2023-01-09 05:50:00,67.33
2023-01-09 07:00:00,67.01
2023-01-09 08:10:00,67.12
2023-01-09 09:20:00,66.3
2023-01-09 10:30:00,65.62
2023-01-09 11:40:00,64.3
2023-01-09 12:50:00,61.7
2023-01-09 14:00:00,59.15
2023-01-09 15:10:00,58.3
2023-01-09 16:20:00,59.76
2023-01-09 17:30:00,62.2
2023-01-09 18:40:00,63.83
2023-01-09 19:50:00,65.14
2023-01-09 21:00:00,66.13
2023-01-09 22:10:00,66.31
2023-01-09 23:20:00,66.58
2023-01-10 00:40:00,67.16
2023-01-10 01:50:00,67.67
2023-01-10 03:00:00,67.96
2023-01-10 04:10:00,68.44
2023-01-10 05:20:00,68.7
2023-01-10 06:30:00,68.73
2023-01-10 07:40:00,68.45
2023-01-10 08:50:00,68.06
2023-01-10 10:00:00,67.13
2023-01-10 11:10:00,65.32
2023-01-10 12:20:00,63.13
2023-01-10 13:30:00,59.55
2023-01-10 14:40:00,55.66
2023-01-10 15:50:00,58.72
2023-01-10 17:00:00,62.2
2023-01-10 18:10:00,63.94
2023-01-10 19:20:00,64.7
2023-01-10 20:30:00,65.54
2023-01-10 21:40:00,66.03
2023-01-10 22:50:00,66.31
2023-01-11 00:10:00,66.89
2023-01-11 01:20:00,67.78
2023-01-11 02:30:00,68.03
2023-01-11 03:40:00,68.18
2023-01-11 04:50:00,68.2
2023-01-11 06:00:00,67.75
2023-01-11 07:10:00,66.76
2023-01-11 08:20:00,65.72
2023-01-11 09:30:00,64.63
2023-01-11 10:40:00,63.62
2023-01-11 11:50:00,61.11
2023-01-11 13:00:00,57.06
2023-01-11 14:10:00,47.18
2023-01-11 15:20:00,41.32
2023-01-11 16:30:00,43.06
2023-01-11 17:40:00,45.71
2023-01-11 18:50:00,52.75
2023-01-11 20:00:00,56.47
2023-01-11 21:10:00,55.86
2023-01-11 22:20:00,59.74
2023-01-11 23:30:00,59.1
2023-01-12 00:50:00,59.53
2023-01-12 02:00:00,58.33
2023-01-12 03:10:00,58.21
2023-01-12 04:20:00,58.83
2023-01-12 05:30:00,59.9
2023-01-12 06:40:00,58.68
2023-01-12 07:50:00,58.57
2023-01-12 09:00:00,57.77
2023-01-12 10:10:00,56.75
2023-01-12 11:20:00,54.59
2023-01-12 12:30:00,56.06
2023-01-12 13:40:00,53.82
2023-01-12 14:50:00,51.96
2023-01-12 16:00:00,49.54
2023-01-12 17:10:00,51.43
2023-01-12 18:20:00,55.66
2023-01-12 19:30:00,58.62
2023-01-12 20:40:00,61.66
2023-01-12 21:50:00,62.66
2023-01-12 23:00:00,64.29
2023-01-13 00:20:00,64.06
2023-01-13 01:30:00,64.28
2023-01-13 02:40:00,65.46
2023-01-13 03:50:00,65.33
2023-01-13 05:00:00,65.68
2023-01-13 06:10:00,66.11
2023-01-13 07:20:00,65.74
2023-01-13 08:30:00,63.17
2023-01-13 09:40:00,63.38
2023-01-13 10:50:00,62.36
2023-01-13 12:00:00,61.88
2023-01-13 13:10:00,61.56
2023-01-13 14:20:00,59.16
2023-01-13 15:30:00,57.74
2023-01-13 16:40:00,56.97
2023-01-13 17:50:00,59.39
2023-01-13 19:00:00,60.97
2023-01-13 20:10:00,61.67
2023-01-13 21:20:00,62.84
2023-01-13 22:30:00,61.43
2023-01-13 23:40:00,65.98
2023-01-14 01:00:00,66.92
2023-01-14 02:10:00,67.91
2023-01-14 03:20:00,67.9
2023-01-14 04:30:00,68.22
2023-01-14 05:40:00,67.94
2023-01-14 06:50:00,67.46
2023-01-14 08:00:00,66.4
2023-01-14 09:10:00,60.83
2023-01-14 10:20:00,61.31
2023-01-14 11:30:00,61.87
2023-01-14 12:40:00,59.24
2023-01-14 13:50:00,61.3
2023-01-14 15:00:00,59.72
2023-01-14 16:10:00,59.72
2023-01-14 17:20:00,60.2
2023-01-14 18:30:00,60.39
2023-01-14 19:40:00,61.61
2023-01-14 20:50:00,60.34
2023-01-14 22:00:00,59.31
2023-01-14 23:10:00,57.34
2023-01-15 00:30:00,54.37
2023-01-15 01:40:00,53.67
2023-01-15 02:50:00,54.44
2023-01-15 04:00:00,54.79
2023-01-15 05:10:00,54.46
2023-01-15 06:20:00,54.39
2023-01-15 07:30:00,54.63
2023-01-15 08:40:00,54.03
2023-01-15 09:50:00,54.6
2023-01-15 11:00:00,59.49
2023-01-15 12:10:00,59.92
2023-01-15 13:20:00,59.48
2023-01-15 14:30:00,58.5
2023-01-15 15:40:00,59.93
2023-01-15 16:50:00,57.73
2023-01-15 18:00:00,57.42
2023-01-15 19:10:00,57.78
2023-01-15 20:20:00,56.96
2023-01-15 21:30:00,56.11
2023-01-15 22:40:00,56.1
2023-01-15 23:50:00,55.58
2023-01-16 01:10:00,57.39
2023-01-16 02:20:00,61.36
2023-01-16 03:30:00,58.95
2023-01-16 04:40:00,59.02
2023-01-16 05:50:00,59.57
2023-01-16 07:00:00,60.54
2023-01-16 08:10:00,60.74
2023-01-16 09:20:00,60.26
2023-01-16 10:30:00,62.22
2023-01-16 11:40:00,60.96
2023-01-16 12:50:00,59.73
2023-01-16 14:00:00,59.1
2023-01-16 15:10:00,60.51
2023-01-16 16:20:00,58.32
2023-01-16 17:30:00,57.14
2023-01-16 18:40:00,56.5
2023-01-16 19:50:00,56.5
2023-01-16 21:00:00,55.43
2023-01-16 22:10:00,55.97
2023-01-16 23:20:00,56.32
2023-01-17 00:40:00,57.53
2023-01-17 01:50:00,61.2
2023-01-17 03:00:00,60.25
2023-01-17 04:10:00,61.58
2023-01-17 05:20:00,60.91
2023-01-17 06:30:00,59.53
2023-01-17 07:40:00,58.97
2023-01-17 08:50:00,59.7
2023-01-17 10:00:00,58.9
2023-01-17 11:10:00,58.7
2023-01-17 12:20:00,60.73
2023-01-17 13:30:00,58.67
2023-01-17 14:40:00,57.17
2023-01-17 15:50:00,57.95
2023-01-17 17:00:00,56.43
2023-01-17 18:10:00,58.77
2023-01-17 19:20:00,59.39
2023-01-17 20:30:00,59.14
2023-01-17 21:40:00,61.57
2023-01-17 22:50:00,62.33
2023-01-18 00:10:00,60.95
2023-01-18 01:20:00,61.4
2023-01-18 02:30:00,60.47
2023-01-18 03:40:00,60.42
2023-01-18 04:50:00,60.64
2023-01-18 06:00:00,59.67
2023-01-18 07:10:00,60.84
2023-01-18 08:20:00,61
2023-01-18 09:30:00,60.8
2023-01-18 10:40:00,58.87
2023-01-18 11:50:00,56.36
2023-01-18 13:00:00,52.5
2023-01-18 14:10:00,50.88
2023-01-18 15:20:00,44.29
2023-01-18 16:30:00,44.63
2023-01-18 17:40:00,45.32
2023-01-18 18:50:00,47.39
2023-01-18 20:00:00,49.31
2023-01-18 21:10:00,52.09
2023-01-18 22:20:00,54.99
2023-01-18 23:30:00,57.71
2023-01-19 00:50:00,59.01
2023-01-19 02:00:00,59.66
2023-01-19 03:10:00,61.96
2023-01-19 04:20:00,63.78
2023-01-19 05:30:00,64.08
2023-01-19 06:40:00,63.85
2023-01-19 07:50:00,64.01
2023-01-19 09:00:00,62.67
2023-01-19 10:10:00,60.31
2023-01-19 11:20:00,55.89
2023-01-19 12:30:00,51.75
2023-01-19 13:40:00,44.59
2023-01-19 14:50:00,36.4
2023-01-19 16:00:00,34.74
2023-01-19 17:10:00,32.45
2023-01-19 18:20:00,40.27
2023-01-19 19:30:00,48.1
2023-01-19 20:40:00,52.81
2023-01-19 21:50:00,56.29
2023-01-19 23:00:00,58.51
2023-01-20 00:20:00,60.97
2023-01-20 01:30:00,62.6
2023-01-20 02:40:00,63.59
2023-01-20 03:50:00,62.91
2023-01-20 05:00:00,64.49
2023-01-20 06:10:00,64.59
2023-01-20 07:20:00,64.55
2023-01-20 08:30:00,62.86
2023-01-20 09:40:00,60.97
2023-01-20 10:50:00,58.33
2023-01-20 12:00:00,55.74
2023-01-20 13:10:00,55.53
2023-01-20 14:20:00,54.65
2023-01-20 15:30:00,56.11
2023-01-20 16:40:00,55.51
2023-01-20 17:50:00,55
2023-01-20 19:00:00,56.13
2023-01-20 20:10:00,56.91
2023-01-20 21:20:00,56.58
2023-01-20 22:30:00,57.14
2023-01-20 23:40:00,58.09
2023-01-21 01:00:00,60.42
2023-01-21 02:10:00,61.31
2023-01-21 03:20:00,60.46
2023-01-21 04:30:00,61.39
2023-01-21 05:40:00,60.44
2023-01-21 06:50:00,60.14
2023-01-21 08:00:00,60.84
2023-01-21 09:10:00,60.94
2023-01-21 10:20:00,60.03
2023-01-21 11:30:00,58.9
2023-01-21 12:40:00,56.13
2023-01-21 13:50:00,56.82
2023-01-21 15:00:00,55.64
2023-01-21 16:10:00,52.71
2023-01-21 17:20:00,44.38
2023-01-21 18:30:00,46.76
2023-01-21 19:40:00,44.9
2023-01-21 20:50:00,49.77
2023-01-21 22:00:00,53.44
2023-01-21 23:10:00,52.14
2023-01-22 00:30:00,54.33
2023-01-22 01:40:00,56.46
2023-01-22 02:50:00,55.64
2023-01-22 04:00:00,56.68
2023-01-22 05:10:00,59.41
2023-01-22 06:20:00,59.39
2023-01-22 07:30:00,58.51
2023-01-22 08:40:00,58.99
2023-01-22 09:50:00,58.59
2023-01-22 11:00:00,55.97
2023-01-22 12:10:00,53.54
2023-01-22 13:20:00,50.87
2023-01-22 14:30:00,47.76
2023-01-22 15:40:00,45.87
2023-01-22 16:50:00,43.37
2023-01-22 18:00:00,45.61
2023-01-22 19:10:00,45.89
2023-01-22 20:20:00,46.3
2023-01-22 21:30:00,50.48
2023-01-22 22:40:00,53.3
2023-01-22 23:50:00,55.22
2023-01-23 01:10:00,56
2023-01-23 02:20:00,56.09
2023-01-23 03:30:00,56.56
2023-01-23 04:40:00,57.98
2023-01-23 05:50:00,57.86
2023-01-23 07:00:00,57.71
2023-01-23 08:10:00,56.89
2023-01-23 09:20:00,58.04
2023-01-23 10:30:00,56.26
2023-01-23 11:40:00,56.51
2023-01-23 12:50:00,53.65
2023-01-23 14:00:00,48.06
2023-01-23 15:10:00,51.33
2023-01-23 16:20:00,51.08
2023-01-23 17:30:00,52.41
2023-01-23 18:40:00,53.12
2023-01-23 19:50:00,54.04
2023-01-23 21:00:00,55.68
2023-01-23 22:10:00,54.96
2023-01-23 23:20:00,56.47
2023-01-24 00:40:00,60.69
2023-01-24 01:50:00,57.4
2023-01-24 03:00:00,52.23
2023-01-24 04:10:00,56.17
2023-01-24 05:20:00,58.51
2023-01-24 06:30:00,60.02
2023-01-24 07:40:00,57.16
2023-01-24 08:50:00,56.25
2023-01-24 10:00:00,46.13
2023-01-24 11:10:00,34.59
2023-01-24 12:20:00,30.55
2023-01-24 13:30:00,29.59
2023-01-24 14:40:00,33.13
2023-01-24 15:50:00,37.81
2023-01-24 17:00:00,38.85
2023-01-24 18:10:00,43.21
2023-01-24 19:20:00,40.82
2023-01-24 20:30:00,45.15
2023-01-24 21:40:00,50.49
2023-01-24 22:50:00,53.74
2023-01-25 00:10:00,57.14
2023-01-25 01:20:00,58.63
2023-01-25 02:30:00,59.67
2023-01-25 03:40:00,61.02
2023-01-25 04:50:00,61.85
2023-01-25 06:00:00,59.97
2023-01-25 07:10:00,57.53
2023-01-25 08:20:00,54.57
2023-01-25 09:30:00,50.71
2023-01-25 10:40:00,48.36
2023-01-25 11:50:00,44.66
2023-01-25 13:00:00,40.87
2023-01-25 14:10:00,37.64
2023-01-25 15:20:00,34.69
2023-01-25 16:30:00,34.38
2023-01-25 17:40:00,33.65
2023-01-25 18:50:00,35.2
2023-01-25 20:00:00,43.32
2023-01-25 21:10:00,46.46
2023-01-25 22:20:00,49.27
2023-01-25 23:30:00,53.52
2023-01-26 00:50:00,54.85
2023-01-26 02:00:00,54.26
2023-01-26 03:10:00,56.19
2023-01-26 04:20:00,55.89
2023-01-26 05:30:00,55.5
2023-01-26 06:40:00,53.05
2023-01-26 07:50:00,53.67
2023-01-26 09:00:00,53.05
2023-01-26 10:10:00,52.1
2023-01-26 11:20:00,50.32
2023-01-26 12:30:00,49.13
2023-01-26 13:40:00,45.37
2023-01-26 14:50:00,44.27
2023-01-26 16:00:00,43.78
2023-01-26 17:10:00,42.98
2023-01-26 18:20:00,43.13
2023-01-26 19:30:00,42.8
2023-01-26 20:40:00,47.7
2023-01-26 21:50:00,49.7
2023-01-26 23:00:00,51.48
2023-01-27 00:20:00,52.76
2023-01-27 01:30:00,56.35
2023-01-27 02:40:00,58.73
2023-01-27 03:50:00,59.57
2023-01-27 05:00:00,60.84
2023-01-27 06:10:00,62.24
2023-01-27 07:20:00,62.59
2023-01-27 08:30:00,62.23
2023-01-27 09:40:00,59.87
2023-01-27 10:50:00,54.15
2023-01-27 12:00:00,50.59
2023-01-27 13:10:00,39.46
2023-01-27 14:20:00,21.93
2023-01-27 15:30:00,20.33
2023-01-27 16:40:00,21.56
2023-01-27 17:50:00,23.01
2023-01-27 19:00:00,33.88
2023-01-27 20:10:00,38.29
2023-01-27 21:20:00,41.11
2023-01-27 22:30:00,45.57
2023-01-27 23:40:00,44.49
2023-01-28 01:00:00,54.46
2023-01-28 02:10:00,55.19
2023-01-28 03:20:00,55.81
2023-01-28 04:30:00,57.29
2023-01-28 05:40:00,58.33
2023-01-28 06:50:00,60.57
2023-01-28 08:00:00,60.03
2023-01-28 09:10:00,56.9
2023-01-28 10:20:00,50.78
2023-01-28 11:30:00,36.45
2023-01-28 12:40:00,43.11
2023-01-28 13:50:00,34.49
2023-01-28 15:00:00,29.19
2023-01-28 16:10:00,26.02
2023-01-28 17:20:00,25.96
2023-01-28 18:30:00,29.85
2023-01-28 19:40:00,38.54
2023-01-28 20:50:00,40.82
2023-01-28 22:00:00,45.79
2023-01-28 23:10:00,46.44
2023-01-29 00:30:00,50.03
2023-01-29 01:40:00,52.03
2023-01-29 02:50:00,55.82
2023-01-29 04:00:00,56.06
2023-01-29 05:10:00,58.92
2023-01-29 06:20:00,59.44
2023-01-29 07:30:00,60.02
2023-01-29 08:40:00,59.64
2023-01-29 09:50:00,59.37
2023-01-29 11:00:00,53.35
2023-01-29 12:10:00,38.17
2023-01-29 13:20:00,38.79
2023-01-29 14:30:00,25.33
2023-01-29 15:40:00,26.81
2023-01-29 16:50:00,25.81
2023-01-29 18:00:00,29.75
2023-01-29 19:10:00,39.66
2023-01-29 20:20:00,45.71
2023-01-29 21:30:00,48.62
2023-01-29 22:40:00,51.7
2023-01-29 23:50:00,54.79
2023-01-30 01:20:00,56.33
2023-01-30 02:30:00,57.91
2023-01-30 03:40:00,57.61
2023-01-30 04:50:00,57.76
2023-01-30 06:00:00,59.58
2023-01-30 07:10:00,61.11
2023-01-30 08:20:00,59.63
2023-01-30 09:30:00,57.28
2023-01-30 10:40:00,50.04
2023-01-30 11:50:00,39.17
2023-01-30 13:00:00,32.95
2023-01-30 14:10:00,27.7
2023-01-30 15:20:00,23.81
2023-01-30 16:30:00,22.09
2023-01-30 17:40:00,24
2023-01-30 18:50:00,29.13
2023-01-30 20:00:00,38.89
2023-01-30 21:10:00,42.48
2023-01-30 22:20:00,47.52
2023-01-30 23:30:00,51.53
2023-01-31 00:50:00,51.33
2023-01-31 02:00:00,52.53
2023-01-31 03:10:00,54.13
2023-01-31 04:20:00,54.73
2023-01-31 05:30:00,55.84
2023-01-31 06:40:00,57.44
2023-01-31 07:50:00,58.07
2023-01-31 09:00:00,55.96
2023-01-31 10:10:00,49.55
2023-01-31 11:20:00,47.71
2023-01-31 12:30:00,36.61
2023-01-31 13:40:00,32.4
2023-01-31 14:50:00,27.63
2023-01-31 16:00:00,27.09
2023-01-31 17:10:00,27.5
2023-01-31 18:20:00,34.7
2023-01-31 19:30:00,41.16
2023-01-31 20:40:00,47.08
2023-01-31 21:50:00,47.24
2023-01-31 23:00:00,53.45
2023-02-01 00:20:00,57.03
2023-02-01 01:30:00,58.19
2023-02-01 02:40:00,57.53
2023-02-01 03:50:00,58.72
2023-02-01 05:00:00,58.23
2023-02-01 06:10:00,59.18
2023-02-01 07:20:00,59.63
2023-02-01 08:30:00,58.22
2023-02-01 09:40:00,56.45
2023-02-01 10:50:00,55.23
2023-02-01 12:00:00,57.69
2023-02-01 13:10:00,53.49
2023-02-01 14:20:00,48.46
2023-02-01 15:30:00,47.81
2023-02-01 16:40:00,48.4
2023-02-01 17:50:00,50.21
2023-02-01 19:00:00,53.94
2023-02-01 20:10:00,53.12
2023-02-01 21:20:00,44.78
2023-02-01 22:30:00,34.91
2023-02-01 23:40:00,33.99
2023-02-02 01:00:00,29.82
2023-02-02 02:10:00,28.55
2023-02-02 03:20:00,27.39
2023-02-02 04:30:00,33.57
2023-02-02 05:40:00,33.66
2023-02-02 06:50:00,33.11
2023-02-02 08:00:00,35.69
2023-02-02 09:10:00,38.69
2023-02-02 10:20:00,35.76
2023-02-02 11:30:00,40.52
2023-02-02 12:40:00,37.97
2023-02-02 13:50:00,41.3
2023-02-02 15:00:00,40.36
2023-02-02 16:10:00,41.63
2023-02-02 17:20:00,40.94
2023-02-02 18:30:00,42.31
2023-02-02 19:40:00,41.34
2023-02-02 20:50:00,49.22
2023-02-02 22:00:00,49.77
2023-02-02 23:10:00,52.07
2023-02-03 00:30:00,54.33
2023-02-03 01:40:00,55.49
2023-02-03 02:50:00,54.7
2023-02-03 04:00:00,51.06
2023-02-03 05:10:00,47.07
2023-02-03 06:20:00,49.69
2023-02-03 07:30:00,47.89
2023-02-03 08:40:00,51.21
2023-02-03 09:50:00,51.48
2023-02-03 11:00:00,44.93
2023-02-03 12:10:00,43.19
2023-02-03 13:20:00,38.24
2023-02-03 14:30:00,35.68
2023-02-03 15:40:00,33.91
2023-02-03 16:50:00,34.88
2023-02-03 18:00:00,36.73
2023-02-03 19:10:00,43.65
2023-02-03 20:20:00,49.82
2023-02-03 21:30:00,53.89
2023-02-03 22:40:00,56.01
2023-02-03 23:50:00,57.77
2023-02-04 01:10:00,58.04
2023-02-04 02:20:00,57.78
2023-02-04 03:30:00,52.45
2023-02-04 04:40:00,55.36
2023-02-04 05:50:00,56.25
2023-02-04 07:00:00,56.98
2023-02-04 08:10:00,57.36
2023-02-04 09:20:00,57.57
2023-02-04 10:30:00,56.43
2023-02-04 11:40:00,56.77
2023-02-04 12:50:00,57.46
2023-02-04 14:00:00,57.55
2023-02-04 15:10:00,50.77
2023-02-04 16:20:00,46.19
2023-02-04 17:30:00,47.89
2023-02-04 18:40:00,48.87
2023-02-04 19:50:00,52.32
2023-02-04 21:00:00,54.75
2023-02-04 22:10:00,54.17
2023-02-04 23:20:00,57.47
2023-02-05 00:40:00,58.83
2023-02-05 01:50:00,57.9
2023-02-05 03:00:00,56.97
2023-02-05 04:10:00,56.36
2023-02-05 05:20:00,56.08
2023-02-05 06:30:00,58.57
2023-02-05 07:40:00,60.43
2023-02-05 08:50:00,58.35
2023-02-05 10:00:00,56.2
2023-02-05 11:10:00,53.2
2023-02-05 12:20:00,48.55
2023-02-05 13:30:00,43.85
2023-02-05 14:40:00,43.95
2023-02-05 15:50:00,39.7
2023-02-05 17:00:00,38.07
2023-02-05 18:10:00,42.61
2023-02-05 19:20:00,47.59
2023-02-05 20:30:00,53.41
2023-02-05 21:40:00,56.67
2023-02-05 22:50:00,58.01
2023-02-06 00:10:00,60.24
2023-02-06 01:30:00,61.74
2023-02-06 02:40:00,62
2023-02-06 03:50:00,62.67
2023-02-06 05:00:00,62.69
2023-02-06 06:10:00,63.35
2023-02-06 07:20:00,63.77
2023-02-06 08:30:00,62.93
2023-02-06 09:40:00,59.81
2023-02-06 10:50:00,52.55
2023-02-06 12:00:00,41.99
2023-02-06 13:10:00,44.51
2023-02-06 14:20:00,43
2023-02-06 15:30:00,40.56
2023-02-06 16:40:00,39.1
2023-02-06 17:50:00,39.96
2023-02-06 19:00:00,46.31
2023-02-06 20:10:00,52.76
2023-02-06 21:20:00,53.37
2023-02-06 22:30:00,56.39
2023-02-06 23:40:00,59.46
2023-02-07 01:00:00,61.49
2023-02-07 02:10:00,62.27
2023-02-07 03:20:00,63.59
2023-02-07 04:30:00,63.18
2023-02-07 05:40:00,63.66
2023-02-07 06:50:00,61.51
2023-02-07 08:00:00,62.61
2023-02-07 09:10:00,61.18
2023-02-07 10:20:00,59.91
2023-02-07 11:30:00,57.73
2023-02-07 12:40:00,53.13
2023-02-07 13:50:00,48.81
2023-02-07 15:00:00,53.39
2023-02-07 16:10:00,53.6
2023-02-07 17:20:00,53.04
2023-02-07 18:30:00,53.46
2023-02-07 19:40:00,56.28
2023-02-07 20:50:00,58.63
2023-02-07 22:00:00,59.78
2023-02-07 23:10:00,59.03
2023-02-08 00:30:00,61.79
2023-02-08 01:40:00,62.23
2023-02-08 02:50:00,62.61
2023-02-08 04:00:00,63.85
2023-02-08 05:10:00,64.08
2023-02-08 06:20:00,64.45
2023-02-08 07:30:00,64.47
2023-02-08 08:40:00,62.17
2023-02-08 09:50:00,62.42
2023-02-08 11:00:00,60.16
2023-02-08 12:10:00,50.31
2023-02-08 13:20:00,47.23
2023-02-08 14:30:00,46.07
2023-02-08 15:40:00,45.21
2023-02-08 16:50:00,44.72
2023-02-08 18:00:00,44.52
2023-02-08 19:10:00,44.46
2023-02-08 20:20:00,44.17
2023-02-08 21:30:00,43.58
2023-02-08 22:40:00,45.29
2023-02-08 23:50:00,49.32
2023-02-09 01:10:00,47.14
2023-02-09 02:20:00,49.76
2023-02-09 03:30:00,49.98
2023-02-09 04:40:00,56.68
2023-02-09 05:50:00,57.46
2023-02-09 07:00:00,61.21
2023-02-09 08:10:00,61.56
2023-02-09 09:20:00,59.98
2023-02-09 10:30:00,56.56
2023-02-09 11:40:00,57.16
2023-02-09 12:50:00,59.46
2023-02-09 14:00:00,61.83
2023-02-09 15:10:00,52.04
2023-02-09 16:20:00,48.07
2023-02-09 17:30:00,49.37
2023-02-09 18:40:00,52.44
2023-02-09 19:50:00,55.08
2023-02-09 21:00:00,57.24
2023-02-09 22:10:00,59.58
2023-02-09 23:20:00,59.85
2023-02-10 00:40:00,61.7
2023-02-10 01:50:00,62.7
2023-02-10 03:00:00,62.21
2023-02-10 04:10:00,63.82
2023-02-10 05:20:00,62.53
2023-02-10 06:30:00,62.58
2023-02-10 07:40:00,63.09
